image,dex_id,pokemon_name,total,hp,attack,defense,sp_atk,sp_def,speed
https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,1,Bulbasaur,318,45,49,49,65,65,45
https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,2,Ivysaur,405,60,62,63,80,80,60
https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,3,Venusaur,525,80,82,83,100,100,80
https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,4,Charmander,309,39,52,43,60,50,65
https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,5,Charmeleon,405,58,64,58,80,65,80
https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,6,Charizard,534,78,84,78,109,85,100
https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,7,Squirtle,314,44,48,65,50,64,43
https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,8,Wartortle,405,59,63,80,65,80,58
https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,9,Blastoise,530,79,83,100,85,105,78
https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,10,Caterpie,195,45,30,35,20,20,45
https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,11,Metapod,205,50,20,55,25,25,30
https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,12,Butterfree,395,60,45,50,90,80,70
https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,13,Weedle,195,40,35,30,20,20,50
https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,14,Kakuna,205,45,25,50,25,25,35
https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,15,Beedrill,395,65,90,40,45,80,75
https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,16,Pidgey,251,40,45,40,35,35,56
https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,17,Pidgeotto,349,63,60,55,50,50,71
https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,18,Pidgeot,479,83,80,75,70,70,101
https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,19,Rattata,253,30,56,35,25,35,72
https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,20,Raticate,413,55,81,60,50,70,97
https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,21,Spearow,262,40,60,30,31,31,70
https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,22,Fearow,442,65,90,65,61,61,100
https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,23,Ekans,288,35,60,44,40,54,55
https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,24,Arbok,448,60,95,69,65,79,80
https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,25,Pikachu,320,35,55,40,50,50,90
https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,26,Raichu,485,60,90,55,90,80,110
https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,27,Sandshrew,300,50,75,85,20,30,40
https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,28,Sandslash,450,75,100,110,45,55,65
https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,29,Nidoran♀,275,55,47,52,40,40,41
https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,30,Nidorina,365,70,62,67,55,55,56
https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,31,Nidoqueen,505,90,92,87,75,85,76
https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,32,Nidoran♂,273,46,57,40,40,40,50
https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,33,Nidorino,365,61,72,57,55,55,65
https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,34,Nidoking,505,81,102,77,85,75,85
https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,35,Clefairy,323,70,45,48,60,65,35
https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,36,Clefable,483,95,70,73,95,90,60
https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,37,Vulpix,299,38,41,40,50,65,65
https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,38,Ninetales,505,73,76,75,81,100,100
https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,39,Jigglypuff,270,115,45,20,45,25,20
https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,40,Wigglytuff,435,140,70,45,85,50,45
https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,41,Zubat,245,40,45,35,30,40,55
https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,42,Golbat,455,75,80,70,65,75,90
https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,43,Oddish,320,45,50,55,75,65,30
https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,44,Gloom,395,60,65,70,85,75,40
https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,45,Vileplume,490,75,80,85,110,90,50
https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,46,Paras,285,35,70,55,45,55,25
https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,47,Parasect,405,60,95,80,60,80,30
https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,48,Venonat,305,60,55,50,40,55,45
https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,49,Venomoth,450,70,65,60,90,75,90
https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,50,Diglett,265,10,55,25,35,45,95
https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,51,Dugtrio,425,35,100,50,50,70,120
https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,52,Meowth,290,40,45,35,40,40,90
https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,53,Persian,440,65,70,60,65,65,115
https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png,54,Psyduck,320,50,52,48,65,50,55
https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png,55,Golduck,500,80,82,78,95,80,85
https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png,56,Mankey,305,40,80,35,35,45,70
https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png,57,Primeape,455,65,105,60,60,70,95
https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,58,Growlithe,350,55,70,45,70,50,60
https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,59,Arcanine,555,90,110,80,100,80,95
https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png,60,Poliwag,300,40,50,40,40,40,90
https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png,61,Poliwhirl,385,65,65,65,50,50,90
https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png,62,Poliwrath,510,90,95,95,70,90,70
https://img.pokemondb.net/sprites/sword-shield/icon/abra.png,63,Abra,310,25,20,15,105,55,90
https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png,64,Kadabra,400,40,35,30,120,70,105
https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png,65,Alakazam,500,55,50,45,135,95,120
https://img.pokemondb.net/sprites/sword-shield/icon/machop.png,66,Machop,305,70,80,50,35,35,35
https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png,67,Machoke,405,80,100,70,50,60,45
https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,68,Machamp,505,90,130,80,65,85,55
https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png,69,Bellsprout,300,50,75,35,70,30,40
https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png,70,Weepinbell,390,65,90,50,85,45,55
https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png,71,Victreebel,490,80,105,65,100,70,70
https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png,72,Tentacool,335,40,40,35,50,100,70
https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png,73,Tentacruel,515,80,70,65,80,120,100
https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,74,Geodude,300,40,80,100,30,30,20
https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,75,Graveler,390,55,95,115,45,45,35
https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,76,Golem,495,80,120,130,55,65,45
https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png,77,Ponyta,410,50,85,55,65,65,90
https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png,78,Rapidash,500,65,100,70,80,80,105
https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png,79,Slowpoke,315,90,65,65,40,40,15
https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,80,Slowbro,490,95,75,110,100,80,30
https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png,81,Magnemite,325,25,35,70,95,55,45
https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png,82,Magneton,465,50,60,95,120,70,70
https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png,83,Farfetch'd,377,52,90,55,58,62,60
https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png,84,Doduo,310,35,85,45,35,35,75
https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png,85,Dodrio,470,60,110,70,60,60,110
https://img.pokemondb.net/sprites/sword-shield/icon/seel.png,86,Seel,325,65,45,55,45,70,45
https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png,87,Dewgong,475,90,70,80,70,95,70
https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png,88,Grimer,325,80,80,50,40,50,25
https://img.pokemondb.net/sprites/sword-shield/icon/muk.png,89,Muk,500,105,105,75,65,100,50
https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png,90,Shellder,305,30,65,100,45,25,40
https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png,91,Cloyster,525,50,95,180,85,45,70
https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png,92,Gastly,310,30,35,30,100,35,80
https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png,93,Haunter,405,45,50,45,115,55,95
https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png,94,Gengar,500,60,65,60,130,75,110
https://img.pokemondb.net/sprites/sword-shield/icon/onix.png,95,Onix,385,35,45,160,30,45,70
https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png,96,Drowzee,328,60,48,45,43,90,42
https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png,97,Hypno,483,85,73,70,73,115,67
https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png,98,Krabby,325,30,105,90,25,25,50
https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png,99,Kingler,475,55,130,115,50,50,75
https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png,100,Voltorb,330,40,30,50,55,55,100
https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png,101,Electrode,490,60,50,70,80,80,150
https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png,102,Exeggcute,325,60,40,80,60,45,40
https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png,103,Exeggutor,530,95,95,85,125,75,55
https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png,104,Cubone,320,50,50,95,40,50,35
https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png,105,Marowak,425,60,80,110,50,80,45
https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png,106,Hitmonlee,455,50,120,53,35,110,87
https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png,107,Hitmonchan,455,50,105,79,35,110,76
https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png,108,Lickitung,385,90,55,75,60,75,30
https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png,109,Koffing,340,40,65,95,60,45,35
https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png,110,Weezing,490,65,90,120,85,70,60
https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png,111,Rhyhorn,345,80,85,95,30,30,25
https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png,112,Rhydon,485,105,130,120,45,45,40
https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png,113,Chansey,450,250,5,5,35,105,50
https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png,114,Tangela,435,65,55,115,100,40,60
https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png,115,Kangaskhan,490,105,95,80,40,80,90
https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png,116,Horsea,295,30,40,70,70,25,60
https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png,117,Seadra,440,55,65,95,95,45,85
https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png,118,Goldeen,320,45,67,60,35,50,63
https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png,119,Seaking,450,80,92,65,65,80,68
https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png,120,Staryu,340,30,45,55,70,55,85
https://img.pokemondb.net/sprites/sword-shield/icon/starmie.png,121,Starmie,520,60,75,85,100,85,115
https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime.png,122,Mr. Mime,460,40,45,65,100,120,90
https://img.pokemondb.net/sprites/sword-shield/icon/scyther.png,123,Scyther,500,70,110,80,55,80,105
https://img.pokemondb.net/sprites/sword-shield/icon/jynx.png,124,Jynx,455,65,50,35,115,95,95
https://img.pokemondb.net/sprites/sword-shield/icon/electabuzz.png,125,Electabuzz,490,65,83,57,95,85,105
https://img.pokemondb.net/sprites/sword-shield/icon/magmar.png,126,Magmar,495,65,95,57,100,85,93
https://img.pokemondb.net/sprites/sword-shield/icon/pinsir.png,127,Pinsir,500,65,125,100,55,70,85
https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png,128,Tauros,490,75,100,95,40,70,110
https://img.pokemondb.net/sprites/sword-shield/icon/magikarp.png,129,Magikarp,200,20,10,55,15,20,80
https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png,130,Gyarados,540,95,125,79,60,100,81
https://img.pokemondb.net/sprites/sword-shield/icon/lapras.png,131,Lapras,535,130,85,80,85,95,60
https://img.pokemondb.net/sprites/sword-shield/icon/ditto.png,132,Ditto,288,48,48,48,48,48,48
https://img.pokemondb.net/sprites/sword-shield/icon/eevee.png,133,Eevee,325,55,55,50,45,65,55
https://img.pokemondb.net/sprites/sword-shield/icon/vaporeon.png,134,Vaporeon,525,130,65,60,110,95,65
https://img.pokemondb.net/sprites/sword-shield/icon/jolteon.png,135,Jolteon,525,65,65,60,110,95,130
https://img.pokemondb.net/sprites/sword-shield/icon/flareon.png,136,Flareon,525,65,130,60,95,110,65
https://img.pokemondb.net/sprites/sword-shield/icon/porygon.png,137,Porygon,395,65,60,70,85,75,40
https://img.pokemondb.net/sprites/sword-shield/icon/omanyte.png,138,Omanyte,355,35,40,100,90,55,35
https://img.pokemondb.net/sprites/sword-shield/icon/omastar.png,139,Omastar,495,70,60,125,115,70,55
https://img.pokemondb.net/sprites/sword-shield/icon/kabuto.png,140,Kabuto,355,30,80,90,55,45,55
https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png,141,Kabutops,495,60,115,105,65,70,80
https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png,142,Aerodactyl,515,80,105,65,60,75,130
https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png,143,Snorlax,540,160,110,65,65,110,30
https://img.pokemondb.net/sprites/sword-shield/icon/articuno.png,144,Articuno,580,90,85,100,95,125,85
https://img.pokemondb.net/sprites/sword-shield/icon/zapdos.png,145,Zapdos,580,90,90,85,125,90,100
https://img.pokemondb.net/sprites/sword-shield/icon/moltres.png,146,Moltres,580,90,100,90,125,85,90
https://img.pokemondb.net/sprites/sword-shield/icon/dratini.png,147,Dratini,300,41,64,45,50,50,50
https://img.pokemondb.net/sprites/sword-shield/icon/dragonair.png,148,Dragonair,420,61,84,65,70,70,70
https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png,149,Dragonite,600,91,134,95,100,100,80
https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo.png,150,Mewtwo,680,106,110,90,154,90,130
https://img.pokemondb.net/sprites/sword-shield/icon/mew.png,151,Mew,600,100,100,100,100,100,100
https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png,152,Chikorita,318,45,49,65,49,65,45
https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png,153,Bayleef,405,60,62,80,63,80,60
https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png,154,Meganium,525,80,82,100,83,100,80
https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png,155,Cyndaquil,309,39,52,43,60,50,65
https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png,156,Quilava,405,58,64,58,80,65,80
https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png,157,Typhlosion,534,78,84,78,109,85,100
https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png,158,Totodile,314,50,65,64,44,48,43
https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png,159,Croconaw,405,65,80,80,59,63,58
https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png,160,Feraligatr,530,85,105,100,79,83,78
https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png,161,Sentret,215,35,46,34,35,45,20
https://img.pokemondb.net/sprites/sword-shield/icon/furret.png,162,Furret,415,85,76,64,45,55,90
https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png,163,Hoothoot,262,60,30,30,36,56,50
https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png,164,Noctowl,452,100,50,50,86,96,70
https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png,165,Ledyba,265,40,20,30,40,80,55
https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png,166,Ledian,390,55,35,50,55,110,85
https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png,167,Spinarak,250,40,60,40,40,40,30
https://img.pokemondb.net/sprites/sword-shield/icon/ariados.png,168,Ariados,400,70,90,70,60,70,40
https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png,169,Crobat,535,85,90,80,70,80,130
https://img.pokemondb.net/sprites/sword-shield/icon/chinchou.png,170,Chinchou,330,75,38,38,56,56,67
https://img.pokemondb.net/sprites/sword-shield/icon/lanturn.png,171,Lanturn,460,125,58,58,76,76,67
https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png,172,Pichu,205,20,40,15,35,35,60
https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png,173,Cleffa,218,50,25,28,45,55,15
https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png,174,Igglybuff,210,90,30,15,40,20,15
https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png,175,Togepi,245,35,20,65,40,65,20
https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png,176,Togetic,405,55,40,85,80,105,40
https://img.pokemondb.net/sprites/sword-shield/icon/natu.png,177,Natu,320,40,50,45,70,45,70
https://img.pokemondb.net/sprites/sword-shield/icon/xatu.png,178,Xatu,470,65,75,70,95,70,95
https://img.pokemondb.net/sprites/sword-shield/icon/mareep.png,179,Mareep,280,55,40,40,65,45,35
https://img.pokemondb.net/sprites/sword-shield/icon/flaaffy.png,180,Flaaffy,365,70,55,55,80,60,45
https://img.pokemondb.net/sprites/sword-shield/icon/ampharos.png,181,Ampharos,510,90,75,85,115,90,55
https://img.pokemondb.net/sprites/sword-shield/icon/bellossom.png,182,Bellossom,490,75,80,95,90,100,50
https://img.pokemondb.net/sprites/sword-shield/icon/marill.png,183,Marill,250,70,20,50,20,50,40
https://img.pokemondb.net/sprites/sword-shield/icon/azumarill.png,184,Azumarill,420,100,50,80,60,80,50
https://img.pokemondb.net/sprites/sword-shield/icon/sudowoodo.png,185,Sudowoodo,410,70,100,115,30,65,30
https://img.pokemondb.net/sprites/sword-shield/icon/politoed.png,186,Politoed,500,90,75,75,90,100,70
https://img.pokemondb.net/sprites/sword-shield/icon/hoppip.png,187,Hoppip,250,35,35,40,35,55,50
https://img.pokemondb.net/sprites/sword-shield/icon/skiploom.png,188,Skiploom,340,55,45,50,45,65,80
https://img.pokemondb.net/sprites/sword-shield/icon/jumpluff.png,189,Jumpluff,460,75,55,70,55,95,110
https://img.pokemondb.net/sprites/sword-shield/icon/aipom.png,190,Aipom,360,55,70,55,40,55,85
https://img.pokemondb.net/sprites/sword-shield/icon/sunkern.png,191,Sunkern,180,30,30,30,30,30,30
https://img.pokemondb.net/sprites/sword-shield/icon/sunflora.png,192,Sunflora,425,75,75,55,105,85,30
https://img.pokemondb.net/sprites/sword-shield/icon/yanma.png,193,Yanma,390,65,65,45,75,45,95
https://img.pokemondb.net/sprites/sword-shield/icon/wooper.png,194,Wooper,210,55,45,45,25,25,15
https://img.pokemondb.net/sprites/sword-shield/icon/quagsire.png,195,Quagsire,430,95,85,85,65,65,35
https://img.pokemondb.net/sprites/sword-shield/icon/espeon.png,196,Espeon,525,65,65,60,130,95,110
https://img.pokemondb.net/sprites/sword-shield/icon/umbreon.png,197,Umbreon,525,95,65,110,60,130,65
https://img.pokemondb.net/sprites/sword-shield/icon/murkrow.png,198,Murkrow,405,60,85,42,85,42,91
https://img.pokemondb.net/sprites/sword-shield/icon/slowking.png,199,Slowking,490,95,75,80,100,110,30
https://img.pokemondb.net/sprites/sword-shield/icon/misdreavus.png,200,Misdreavus,435,60,60,60,85,85,85
https://img.pokemondb.net/sprites/sword-shield/icon/unown.png,201,Unown,336,48,72,48,72,48,48
https://img.pokemondb.net/sprites/sword-shield/icon/wobbuffet.png,202,Wobbuffet,405,190,33,58,33,58,33
https://img.pokemondb.net/sprites/sword-shield/icon/girafarig.png,203,Girafarig,455,70,80,65,90,65,85
https://img.pokemondb.net/sprites/sword-shield/icon/pineco.png,204,Pineco,290,50,65,90,35,35,15
https://img.pokemondb.net/sprites/sword-shield/icon/forretress.png,205,Forretress,465,75,90,140,60,60,40
https://img.pokemondb.net/sprites/sword-shield/icon/dunsparce.png,206,Dunsparce,415,100,70,70,65,65,45
https://img.pokemondb.net/sprites/sword-shield/icon/gligar.png,207,Gligar,430,65,75,105,35,65,85
https://img.pokemondb.net/sprites/sword-shield/icon/steelix.png,208,Steelix,510,75,85,200,55,65,30
https://img.pokemondb.net/sprites/sword-shield/icon/snubbull.png,209,Snubbull,300,60,80,50,40,40,30
https://img.pokemondb.net/sprites/sword-shield/icon/granbull.png,210,Granbull,450,90,120,75,60,60,45
https://img.pokemondb.net/sprites/sword-shield/icon/qwilfish.png,211,Qwilfish,440,65,95,85,55,55,85
https://img.pokemondb.net/sprites/sword-shield/icon/scizor.png,212,Scizor,500,70,130,100,55,80,65
https://img.pokemondb.net/sprites/sword-shield/icon/shuckle.png,213,Shuckle,505,20,10,230,10,230,5
https://img.pokemondb.net/sprites/sword-shield/icon/heracross.png,214,Heracross,500,80,125,75,40,95,85
https://img.pokemondb.net/sprites/sword-shield/icon/sneasel.png,215,Sneasel,430,55,95,55,35,75,115
https://img.pokemondb.net/sprites/sword-shield/icon/teddiursa.png,216,Teddiursa,330,60,80,50,50,50,40
https://img.pokemondb.net/sprites/sword-shield/icon/ursaring.png,217,Ursaring,500,90,130,75,75,75,55
https://img.pokemondb.net/sprites/sword-shield/icon/slugma.png,218,Slugma,250,40,40,40,70,40,20
https://img.pokemondb.net/sprites/sword-shield/icon/magcargo.png,219,Magcargo,430,60,50,120,90,80,30
https://img.pokemondb.net/sprites/sword-shield/icon/swinub.png,220,Swinub,250,50,50,40,30,30,50
https://img.pokemondb.net/sprites/sword-shield/icon/piloswine.png,221,Piloswine,450,100,100,80,60,60,50
https://img.pokemondb.net/sprites/sword-shield/icon/corsola.png,222,Corsola,410,65,55,95,65,95,35
https://img.pokemondb.net/sprites/sword-shield/icon/remoraid.png,223,Remoraid,300,35,65,35,65,35,65
https://img.pokemondb.net/sprites/sword-shield/icon/octillery.png,224,Octillery,480,75,105,75,105,75,45
https://img.pokemondb.net/sprites/sword-shield/icon/delibird.png,225,Delibird,330,45,55,45,65,45,75
https://img.pokemondb.net/sprites/sword-shield/icon/mantine.png,226,Mantine,485,85,40,70,80,140,70
https://img.pokemondb.net/sprites/sword-shield/icon/skarmory.png,227,Skarmory,465,65,80,140,40,70,70
https://img.pokemondb.net/sprites/sword-shield/icon/houndour.png,228,Houndour,330,45,60,30,80,50,65
